geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
DAND5	4	4	2	0	1	3	16	2	1	4	4	1	3	0	0	8	2	10	4	0	706	3	10
NFIX	4770	1218	110	32	81	753	2854	453	315	1278	993	5182	1147	8910	124	2629	264	6098	866	0	6515	10181	2893
LYL1	2	0	0	0	0	0	6	0	0	2	0	0	2	0	0	0	0	2	0	0	401	2	0
TRMT1	64	473	1	1	3	3	140	275	8	48	7	1	2	2	0	755	90	538	7	0	3262	4	845
NACC1	1830	13785	13	21	1174	3817	1019	3298	150	936	74	7016	4720	15	8	17084	1679	15628	5012	0	401	4743	18763
STX10	6	7	2	0	8	0	271	94	0	91	519	4	1	0	0	4	1	15	8	0	28426	1	5
IER2	186	77	4	0	0	11	401	3850	15	582	27	3	72	0	7116	108	5	267	11	0	28426	7188	113
CACNA1A	82	100	634	44	154	156	587	82	73	102	93	135	150	53	32	145	35	816	354	0	28426	235	180
BC042451	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	133	0	0
CCDC130	22	9	7	1	27	41	234	227	10	10	445	5	79	62	4	20	7	38	51	0	144	85	27
MRI1	1	8	15	57	21	72	13	468	9	51	0	4	1	0	2	3	69	24	150	0	3	3	72
C19orf53	1	44	3	0	0	175	1775	2752	46	667	20	1637	262	6	0	0	4	48	175	0	108	268	4
ZSWIM4	15	34	3305	5	21	6	498	9	490	11	6	13	28	12	6	34	18	3354	32	0	144	46	52
LOC284454	1	63	0	0	1	0	678	172	1	1487	4	4	0	2	1318	2	0	64	1	0	158	1320	2
NANOS3	3	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	1	3	2	0	167	2	1
C19orf57	8	18	29	0	3	0	15	5	0	234	3	6	7	2	0	6	7	55	3	0	277	9	13
CC2D1A	3	88	7	2	9	4	241	179	62	159	127	3	3	4	2	48	5	98	15	0	1433	9	53
PODNL1	2	5	6	0	2	6	6	1	3	7	5	5	3	3	9	6	9	13	8	0	1022	15	15
DCAF15	0	0	2	1	0	13	642	79	1	36	0	5	4	0	1242	0	5	2	14	0	505	1246	5
RFX1	10	61	17	5	22	12	346	232	13	19	7	13	30	542	5	192	15	88	39	0	11262	577	207
RLN3	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	103	0	0
IL27RA	6	539	12	1	52	0	84	2046	5	43	2	14	55	288	2	2907	161	557	53	0	160	345	3068
LOC113230	0	3	2	0	0	0	112	2637	1	680	0	2	0	0	0	0	0	5	0	0	160	0	0
PRKACA	101	9	43	6	7	253	885	889	145	384	98	285	34	2	6	76	3	153	266	0	3888	42	79
ASF1B	485	30	2	2	3713	591	973	9	10	32	207	1	12	2507	7	15	4412	517	4306	0	620	2526	4427
LOC100507373	10	12	108	3	545	121	563	1726	10	328	4	7	801	31	5	49	6	130	669	0	697	837	55
AX746734	1	0	2	1	0	0	1	0	1	92	0	0	0	0	0	0	0	3	1	0	4694	0	0
BC011648	7	7	8	2	11	1	11	8	5	6	6	7	3	2	2	9	2	22	14	0	4418	7	11
CD97	83	385	4620	44	223	2563	7041	10061	23	731	34	13	2092	56	6067	52	4578	5088	2830	0	3936	8215	4630
DDX39A	393	3218	234	0	4645	1553	3499	5228	51	1117	1073	752	199	845	3483	2104	945	3845	6198	0	635	4527	3049
PKN1	25	1239	16	2	1667	159	1803	868	100	18	13	8	809	155	31	3331	258	1280	1828	0	245	995	3589
PTGER1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	28	0	26	0	0	0	393	30	26
GIPC1	2299	1636	18	420	2336	1018	1733	1805	33	1923	877	2626	2067	2719	471	2395	1016	3953	3774	0	757	5257	3411
DNAJB1	59	1903	15	35	1112	986	5322	3036	301	2035	12	6211	88	230	1209	3627	275	1977	2133	0	746	1527	3902
TECR	683	311	24	2	61	375	422	691	329	1385	14	809	148	71	147	8	123	1018	438	0	746	366	131
NDUFB7	279	960	1628	3	503	210	661	538	216	546	217	6537	235	111	28	29	26	2867	716	0	29	374	55
CLEC17A	4901	10	34	5	19	214	13	3	5	15	8	8	17	1	28	10	31	4945	238	0	948	46	41
EMR3	30296	80277	10410	22090	50069	23715	18257	9335	1013	12687	7319	1482	52871	37321	14655	87740	24580	120983	95874	0	4588	104847	112320
ZNF333	6	7219	7	1	6	3	478	435	16	15	13	6	154	1	28	3	28	7232	10	0	4588	183	31
EMR2	14	194	13	16	35	771	1927	2567	12	90	10	11	721	18	3487	26	1681	221	822	0	9001	4226	1707
OR7A5	0	6	1	0	1	0	4	0	0	3	2	4	0	0	2	0	1	7	1	0	2289	2	1
OR7A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
SLC1A6	10	13	15	0	8	1	24	12	4	16	11	4	9	4	13	21	9	38	9	0	2492	26	30
CCDC105	1	4	1	0	4	2	5	2	4	3	2	6	2	0	0	1	1	6	6	0	5962	2	2
SYDE1	880	4	2	1	163	3	878	4278	381	41	1	4093	1	0	0	4	0	886	167	0	2751	1	4
ILVBL	13	668	1	0	474	490	279	575	2	60	0	7	81	341	0	1	0	682	964	0	16258	422	1
NOTCH3	9	30	24	6	21	3	34	7	5	25	2	11	6	2	4	23	5	63	30	0	3431	12	28
EPHX3	2	1	2	0	2	1	8	0	1	4	3	0	4	0	0	1	0	5	3	0	1875	4	1
BRD4	5139	16156	698	77	7862	5508	11211	13798	370	2679	2005	19124	9007	5520	849	7884	2285	21993	13220	0	3005	15376	9455
AKAP8	2775	8055	13	353	11	1207	318	1000	252	915	2028	20	60	2894	11357	20	1	10843	1571	0	16258	14311	21
AKAP8L	18	577	112	1	1793	1578	496	2977	168	1078	661	31	1134	166	7946	37	72	707	3372	0	1665	9246	109
WIZ	45	19	5474	74	19	112	526	4833	30	1751	1657	4631	6	85	3	10	63	5538	205	0	9116	94	73
RASAL3	64	2	1	2	4	0	2	2	2	1	2	2	0	0	0	2	0	67	6	0	5412	0	2
PGLYRP2	3	6	1	0	1	0	112	2	4	2	3	0	4	2	1	7	1	10	1	0	6226	7	8
CYP4F22	9	17	49	11	139	16	250	1669	185	34	9	68	368	101	2	6289	2020	75	166	0	6212	471	8309
CYP4F8	0	1	6	0	0	0	35	1	1	2	4	2	0	0	0	1	2	7	0	0	531	0	3
CYP4F3	1	0	53	4	9	0	121	1	10	11	5	4	4	3	2	5	6	54	13	0	21681	9	11
CYP4F12	22	84	587	27	0	11	11	5	0	6	0	3	1	12	44	1	10	693	38	0	19687	57	11
OR10H2	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	18645	0	0
CYP4F24P	0	0	6	0	0	0	12	2	0	2	2	2	0	0	4	0	0	6	0	0	406	4	0
OR10H1	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
UCA1	22	804	0	0	3	0	283	69326	64	4845	33	856	0	2	0	0	1	826	3	0	156	2	1
CYP4F2	1	3	26	2	3	0	29	0	4	4	6	2	5	2	2	9	4	30	5	0	406	9	13
CYP4F11	3	2	24	1	4	0	744	2	2	3	2	2	2	2	1	1	2	29	5	0	16158	5	3
LOC126536	0	3	2	0	0	0	2	0	0	4	0	5	2	0	0	0	2	5	0	0	780	2	2
DQ581539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0
FLJ25328	8	6	27	2	3	0	0	2	0	6	3	2	5	6	6	3	5	41	5	0	12933	17	8
DQ592688	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	265	0	0
DQ601165	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2850	0	0
DQ589586	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2850	0	0
DQ597063	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2850	0	0
DQ585694	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	339	0	0
DQ598314	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	339	0	0
DQ591334	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	339	0	0
DQ574353	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0
DQ583543	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0
DQ596700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0
DQ592376	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0
DQ579377	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0
DQ591916	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0
DQ575099	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0
DQ582228	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0
DQ588762	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0
DQ592694	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1463	0	0
DQ585389	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	702	0	0
DQ580910	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	702	0	0
DQ570895	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	702	0	0
DQ600374	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1673	0	0
DQ592014	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1673	0	0
TPM4	7047	6271	8325	4634	1811	8389	18636	34577	465	7451	3134	13464	10761	14147	7302	10666	11951	21643	14834	0	220	32210	22617
AK095546	254	1437	149	695	475	1430	7176	5531	61	1632	783	5858	2430	4629	1936	2951	1522	1840	2600	0	2	8995	4473
RAB8A	1189	3050	1299	7825	2981	1193	1756	4852	465	4438	1157	794	4920	1887	16176	1585	1095	5538	11999	0	1712	22983	2680
HSH2D	7	7	882	2	9	144	16	4	3	4	6	3	8	4	0	19	8	896	155	0	15829	12	27
CIB3	11	8	0	0	14	1	8	0	5	10	2	3	10	1	2	9	0	19	15	0	15143	13	9
FAM32A	60	4068	1	1	737	29	4067	3448	60	391	2965	28	192	83	702	1	0	4129	767	0	364	977	1
AP1M1	3129	1068	24	7	9	110	6297	318	294	374	2055	292	7100	164	22	328	11346	4221	126	0	1612	7286	11674
KLF2	731	0	7	0	1	14	60	37	2	3	2	0	510	0	0	0	192	738	15	0	896	510	192
EPS15L1	8720	4829	142	62	1992	818	3544	2320	214	1011	317	8004	7351	17210	64	5710	607	13691	2872	0	1758	24625	6317
CALR3	9	7	13	2	8	0	29	1	1	8	3	1	1801	3	1	4	7	29	10	0	729	1805	11
MED26	868	4653	72	12	2901	1460	6413	5091	889	1409	91	5059	2377	1200	1919	3241	246	5593	4373	0	729	5496	3487
C19orf44	827	63	25	5	52	534	957	1265	46	336	48	30	53	64	486	35	21	915	591	0	988	603	56
CHERP	125	280	17	1	18	519	459	1215	13	574	26	2	36	25	470	78	4	422	538	0	10641	531	82
SLC35E1	23	2922	18	0	2317	897	2915	2213	76	410	9	5016	499	1124	1422	3113	158	2963	3214	0	6846	3045	3271
C19orf42	229	139	9	0	528	1565	1475	1368	2	17	3	3	2747	489	4	254	14	377	2093	0	13167	3240	268
TMEM38A	127	46	46	2	10	49	82	319	10	481	5	3	10	4	4	35	9	219	61	0	302	18	44
NWD1	30	65	42	9	28	6	801	25	22	24	7	17	25	19	11	25	19	137	43	0	5634	55	44
SIN3B	712	1650	23	4	44	3075	2095	2411	30	1134	16	368	3600	23	4774	6572	411	2385	3123	0	4002	8397	6983
F2RL3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	5747	1	0
CPAMD8	48	249	162	22	41	22	162	79	34	97	56	100	29	35	13	68	31	459	85	0	40	77	99
HAUS8	59	22	7	8	8	1097	1480	80	7	1005	18	7	2080	1875	7	27	11	88	1113	0	31660	3962	38
MYO9B	1394	32693	6061	139	660	1187	1783	3383	88	1147	1798	148	158	215	77	619	68	40148	1986	0	41411	450	687
USE1	19	0	0	0	4	2	65	3	132	5	0	1624	17	0	1	1	1	19	6	0	1775	18	2
OCEL1	1	0	1	0	0	3	62	9	6	0	4	0	0	0	0	2	0	2	3	0	2	0	2
NR2F6	4	4	4	0	8	1	297	1065	7	514	1	2	1	1	17	0	67	12	9	0	140	19	67
USHBP1	4	7	5	0	6	1	6	2	0	9	1	0	2	3	0	3	3	16	7	0	1775	5	6
BABAM1	1836	417	2	3	4	881	2338	2293	283	230	10750	17	595	156	1	580	2334	2255	888	0	1559	752	2914
ANKLE1	2	0	0	1	2	0	34	6	0	2	1	1	2	0	1	1	2	2	3	0	1175	3	3
ABHD8	40	32	9	6	46	3	345	832	40	133	57	13	12	12	4	8	1	81	55	0	17	28	9
MRPL34	157	2	11	39	18	916	251	522	255	1222	19	2048	7955	929	35	6685	500	170	973	0	10216	8919	7185
DDA1	12	66	7	2	2	327	1697	3837	426	326	3169	6	917	8	1	5	24	85	331	0	12808	926	29
ANO8	3	1	5	0	9	2	158	14	2	148	6	6	22	11	2	7	8	9	11	0	10238	35	15
GTPBP3	3	1	2	2	7	253	91	101	1	350	0	0	3	1623	4	200	8	6	262	0	3628	1630	208
PLVAP	7	12	19	5	25	8	13	7	1	13	1	2	11	6	6	17	9	38	38	0	2117	23	26
BST2	365	1	6	5	2830	2298	669	5131	423	125	4	3200	2	145	0	0	4694	372	5133	0	16	147	4694
AK055623	5	0	1	0	19	19	45	110	0	2	1	2	1	2	10	0	257	6	38	0	107	13	257
FAM125A	1	539	7	1	18	2	1404	303	3	93	391	21	4	1	9	563	13	547	21	0	107	14	576
TMEM221	2	7	7	2	4	0	10	0	1	0	76	2	3	2	0	2	4	16	6	0	5634	5	6
NXNL1	1	3	0	0	2	0	1	1	0	1	3	0	0	6	0	0	0	4	2	0	53	6	0
SLC27A1	3	26	8	1	11	6	1060	32	27	10	6	3	63	8	7	13	8	37	18	0	8261	78	21
PGLS	64	2	2	1	2	1	690	173	67	84	27	1	1	12	2	1	1	68	4	0	89	15	2
FAM129C	370	41	17	213	12	841	23	1	3	11	4	3	14	10	4	18	2	428	1066	0	6347	28	20
GLT25D1	50	741	2550	3	4877	1088	4729	5349	233	517	3695	138	2981	3151	78	3695	6700	3341	5968	0	6347	6210	10395
MAP1S	6	5	3	0	1	2	872	1130	50	137	5	7	5	2	4	3472	224	14	3	0	5276	11	3696
FCHO1	8	24	30	11	20	4	72	9	38	9	86	8	40	4	13	206	5	62	35	0	5276	57	211
B3GNT3	3	6	4	20	7	0	13	95	110	1	2	2	5	0	3	199	1	13	27	0	6392	8	200
INSL3	1	1	2	0	0	2	249	2	0	2	0	1	5	4	0	194	2	4	2	0	6392	9	196
JAK3	8	7	6	0	7	0	21	5	4	4	10	5	12	1	2	198	1	21	7	0	6392	15	199
RPL18A	170	357	0	13	0	726	1719	1949	384	1857	1808	821	289	203	47	404	22	527	739	0	5470	539	426
SNORA68	0	0	0	0	0	0	41	10	0	5	7	0	0	0	0	194	0	0	0	0	5470	0	194
SLC5A5	17	21	34	0	18	6	24	6	2	17	2	0	31	26	14	219	25	72	24	0	5004	71	244
CCDC124	104	4	6	133	1	109	239	266	7	11	3	846	37	2	0	34	7	114	243	0	5	39	41
KCNN1	23	21	80	3	17	15	29	7	4	9	0	15	48	29	11	51	30	124	35	0	13	88	81
ARRDC2	3	3	6	0	5	683	321	756	1	120	1	0	4	1	542	716	35	12	688	0	13	547	751
IL12RB1	31	9	20	13	16	1	25	2	5	15	2	6	23	7	4	22	5	60	30	0	315	34	27
MAST3	11	10	22	5	19	14	733	2682	276	141	5	23	529	9	32	11292	801	43	38	0	322	570	12093
PIK3R2	58	53	23	4089	555	3422	2341	10197	530	430	429	15	150	1118	1103	5	7	134	8066	0	877	2371	12
IFI30	48	19	13	4086	541	890	252	4426	395	365	166	2	1	0	5	0	1	80	5517	0	9733	6	1
MPV17L2	70	1	18	1	2	14	429	95	36	1647	7	2	18	4	4	13	13	89	17	0	25395	26	26
RAB3A	2	2	22	2	2	2	2	5	2	30	0	0	41	0	2	2	4	26	6	0	1265	43	6
PDE4C	18	22	30	4	18	4	301	11	0	9	6	14	7	12	2	8	11	70	26	0	5644	21	19
KIAA1683	1	10	11	0	15	2	10	94	1	1	0	0	9	5	4	33	15	22	17	0	5983	18	48
JUND	102	8116	13	104	2511	4999	1985	2481	1702	2564	113	6597	1063	6896	2	4644	381	8231	7614	0	510	7961	5025
LSM4	64	943	12	1	4	785	1813	500	34	935	1269	12	39	910	8	10	1527	1019	790	0	5634	957	1537
PGPEP1	4	17	9	13	13	874	900	1778	6	35	10	3	1509	5	17	21	566	30	900	0	1932	1531	587
GDF15	1	0	3	0	292	0	92	0	0	0	0	3	1	1	0	1	0	4	292	0	1708	2	1
LRRC25	0	3	3	0	0	0	1	0	0	0	0	0	1	0	0	1	0	6	0	0	44067	1	1
SSBP4	13	9	100	0	216	143	133	109	22	454	12	9	37	14	51	36	26	122	359	0	44070	102	62
ISYNA1	0	2	4	0	147	3	53	149	2	4	2	2	0	0	4	0	0	6	150	0	26283	4	0
ELL	763	18790	472	81	103	498	1083	356	56	203	23	47	156	23	17	76	761	20025	682	0	26283	196	837
FKBP8	1	4	3	0	3	7	1025	1389	60	86	136	7	15	1	0	807	43	8	10	0	5634	16	850
KXD1	8	24	3	0	5	137	774	5790	737	221	162	10	91	4377	0	3	3	35	142	0	656	4468	6
UBA52	337	10410	35	114	55	1119	3631	6604	421	2516	1194	4015	426	2561	556	1541	456	10782	1288	0	656	3543	1997
C19orf60	0	0	2	0	4	162	106	1667	3	31	2	0	163	72	2	2194	112	2	166	0	2182	237	2306
TMEM59L	38	2	3	3	0	2	1	0	0	1	1	3	0	0	0	0	1	43	5	0	961	0	1
KLHL26	51	6	47	3	5	4	303	7	10	38	9	2	32	24	9	12	14	104	12	0	9043	65	26
CRTC1	1935	119	63	26	119	52	1625	38	79	698	71	203	114	91	523	100	84	2117	197	0	9043	728	184
COMP	1	4	14	0	2	0	2	0	4	6	0	2	2	0	1	6	3	19	2	0	9043	3	9
UPF1	9	1477	16	87	2916	297	1927	8843	67	1480	41	11	221	4	3	33	80	1502	3300	0	9043	228	113
CERS1	12	8	11	5	16	10	246	9	3	6	13	7	13	5	2	15	17	31	31	0	13795	20	32
COPE	9	4	21	1	17	10	493	1343	7	600	0	0	248	1401	4	38	3014	34	28	0	1721	1653	3052
HOMER3	32	9	25	6	19	11	405	2070	211	534	1457	7	25	1881	7	348	3036	66	36	0	677	1913	3384
DDX49	22	3	3	3	0	2	229	148	1	16	6	2	11	23	4	341	23	28	5	0	255	38	364
SUGP2	1639	12932	149	33	672	1683	4427	8120	251	1987	2209	1276	6088	2223	1508	4252	5315	14720	2384	0	895	9737	9567
ARMC6	527	79	16	969	9	31	420	3275	17	145	615	37	417	4229	2028	11	9	622	1009	0	440	6674	20
SLC25A42	16	27	17	0	77	9	303	26	6	25	15	93	12	11	6	12	11	60	86	0	440	29	23
TMEM161A	29	766	12	1	113	113	166	32	2	6	231	108	14	7	2	9	8	807	227	0	589	23	17
MEF2B	106	28	18	6	39	443	326	512	12	190	1051	9	253	1	1078	17	5	152	488	0	3300	1332	22
MEF2BNB-MEF2B	106	28	18	6	39	443	326	512	12	190	1051	9	253	1	1078	17	5	152	488	0	444	1332	22
MEF2BNB	4	22	10	3	8	124	275	488	12	27	876	6	0	0	1071	4	4	36	135	0	12111	1071	8
RFXANK	624	1627	9	3	1060	1164	860	367	1505	1009	5	24	34	305	655	4	5	2260	2227	0	15485	994	9
NR2C2AP	534	1627	1	3	1054	1121	842	148	5	1177	4	16	30	305	652	0	5	2162	2178	0	77	987	5
NCAN	15	15	10	14	11	1	23	2	7	8	5	41	12	6	1	10	18	40	26	0	105	19	28
HAPLN4	4	7	26	1	9	1	10	0	0	6	11	5	6	1	4	7	3	37	11	0	38	11	10
TM6SF2	4	5	13	1	6	1	2	0	0	4	7	3	6	0	4	5	1	22	8	0	1694	10	6
SUGP1	35	35	81	3	374	704	415	223	2	12	44	6	25	28	6	4037	269	151	1081	0	4355	59	4306
MAU2	9	9	26	3	17	48	627	4692	610	722	100	11	45	7	0	199	29	44	68	0	156	52	228
TSSK6	3	2	3	2	2	3	34	9	8	41	19	4	1	1	1	2	0	8	7	0	179	3	2
YJEFN3	746	122	27	19	6984	335	1194	1821	12	298	0	3	877	814	261	654	14299	895	7338	0	914	1868	14953
CILP2	183	1	6	0	0	0	0	186	2	0	2	0	0	0	0	0	0	190	0	0	4265	0	0
PBX4	760	28	50	10	192	3	2318	254	163	51	7	9	14	7	4	19	27	838	205	0	4265	25	46
LPAR2	4	0	46	1	2	5	34	63	2	2	1	0	2968	18	9	11	15	50	8	0	18897	2995	26
GMIP	2	5	6	0	7	4	271	620	216	715	1	2	0	4	1	9	2	13	11	0	14416	5	11
ATP13A1	16	8	11	0	121	46	596	1389	2	57	5	4	83	0	0	0	3	35	167	0	14416	83	3
ZNF101	0	8	1	6	2	0	568	1714	3	46	4	7	13	1	0	2	0	9	8	0	14416	14	2
ZNF14	2101	20	17	106	11	4	195	11	7	8	222	2	465	0	0	4	1	2138	121	0	12190	465	5
DQ574239	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
DQ584913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3018	0	0
DQ595898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3027	0	0
DQ589342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420	0	0
DQ590656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420	0	0
DQ584258	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1420	0	0
DQ583759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0
DQ582729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0
DQ579782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0
DQ577095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0
DQ573850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0
DQ593444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
DQ596707	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31	0	0
DQ596454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2983	0	0
DQ576791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2983	0	0
DQ589720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4340	0	0
LOC284440	2	6	6	1	4	0	127	13	1	2	2	4	6	3	4	9	2	14	5	0	6166	13	11
ZNF506	374	3115	10	30	7068	279	4085	200	16	782	407	9	435	7	824	473	255	3499	7377	0	6166	1266	728
ZNF253	631	42	17	17	134	13	70	86	95	22	14	21	960	560	16	12	13	690	164	0	784	1536	25
ZNF93	2565	193	15	4	5128	115	2211	231	18	555	15	4	19	5	1	574	34	2773	5247	0	3050	25	608
ZNF682	71	517	14	6	374	282	463	48	7	47	8	6	274	359	2649	313	23	602	662	0	273	3282	336
ZNF90	7091	1876	31	102	1116	2836	3933	1805	313	1278	403	2410	6688	1942	3341	4561	5708	8998	4054	0	2219	11971	10269
ZNF486	1630	10	7	18	138	143	373	60	7	24	71	3	292	18	13	7	17	1647	299	0	9	323	24
ZNF826P	179	1615	215	35	1557	345	1532	30	13	213	20	10	2477	326	21	47	19	2009	1937	0	349	2824	66
ZNF737	9527	24	14	769	91	4	274	259	22	130	12	14	774	5	10	862	76	9565	864	0	21	789	938
ZNF626	73	6961	13	10	50	3518	1698	857	21	181	1553	10	1593	2307	9	18	5955	7047	3578	0	3103	3909	5973
ZNF66	1529	49	7	19	25	0	139	25	10	14	7	3	37	2	0	5	34	1585	44	0	140	39	39
ZNF85	1132	38	32	136	1707	984	560	19	2	231	180	6	174	1565	12	1540	26468	1202	2827	0	4663	1751	28008
ZNF430	480	132	20	22	7139	2196	1158	279	79	152	70	55	1124	1797	7	14	21	632	9357	0	550	2928	35
ZNF714	31	21	16	45	9145	645	1171	63	8	301	207	672	2207	2405	8	94	55	68	9835	0	5292	4620	149
ZNF431	1360	39	20	19	1247	92	1940	795	30	97	54	98	689	331	2325	343	281	1419	1358	0	1100	3345	624
ZNF708	455	193	12	31	41	163	964	1414	7	26	7	15	1850	55	1390	21	12	660	235	0	2112	3295	33
ZNF738	94	251	102	3	1789	939	221	199	8	100	267	16	882	2118	5	11	28	447	2731	0	681	3005	39
ZNF493	17	108	104	5	73	64	359	46	17	104	35	56	370	87	19	42	20	229	142	0	2019	476	62
CR627135	4	6	1	2	43	1	318	5	0	2	2	3	98	390	0	7	4	11	46	0	322	488	11
LOC400680	8	10	13	2	12	17	10	1	0	3	4	0	7	1	4	6	13	31	31	0	322	12	19
ZNF429	25	40	24	5	34	7	268	26	6	34	15	14	18	13	6	16	17	89	46	0	1100	37	33
AX748435	0	0	1	0	0	1	1	1	0	2	1	0	0	0	0	0	0	1	1	0	119	0	0
BC033373	18	5	50	36	4	4	3	0	1	0	1	1	8	9	10	12	23	73	44	0	12	27	35
ZNF100	8	303	7	11	1459	198	714	532	15	311	27	12	6349	749	2	476	40	318	1668	0	111	7100	516
ZNF43	1079	2868	18	8739	4089	114	2792	2064	10	124	29	6	1961	8	442	319	59	3965	12942	0	1100	2411	378
ZNF208	20	45	10	7	48	11	44	9	4	24	14	4	61	12	3	7	14	75	66	0	615	76	21
ZNF676	11	16	20	2	16	0	29	4	2	5	4	11	7	8	2	0	7	47	18	0	81	17	7
ZNF98	51	73	22	12	184	87	265	134	22	42	19	455	56	69	55	51	24	146	283	0	78	180	75
LOC440518	0	0	0	0	0	0	1	5	3	5	0	2	2	0	2	0	19	0	0	0	78	4	19
BC030765	0	7	10	0	1	0	7	0	1	2	2	0	4	2	2	2	0	17	1	0	78	8	2
ZNF492	13	17	34	13	31	3	56	6	10	11	10	10	15	7	11	13	14	64	47	0	59	33	27
BC128130	4	13	2	1	12	2	5	0	0	0	0	4	6	6	0	3	3	19	15	0	935	12	6
BC128131	4	13	2	1	12	2	5	0	0	0	0	4	6	6	0	3	3	19	15	0	978	12	6
BC037873	1	0	2	2	1	0	2	1	0	3	0	2	1	1	0	3	2	3	3	0	14	2	5
ZNF730	52	450	22	20	32	149	235	418	24	90	33	299	310	45	26	70	16	524	201	0	9	381	86
AK023040	5	12	6	2	288	2	153	511	8	112	7	11	20	5	1	3	3	23	292	0	166	26	6
BC038574	2	21	3749	5	634	33	245	1	1	409	2	4	187	912	0	205	23	3772	672	0	166	1099	228
ZNF91	116	453	40	34	2126	37	3858	864	295	1052	8	85	3425	69	41	426	235	609	2197	0	795	3535	661
AK022793	2	82	4	9	3086	1048	1870	2	499	1912	3	33	9	1	2	7	3	85	3095	0	166	12	10
BC043213	0	3	5	7	3114	1048	915	0	2	569	2	26	11	1	2	6	5	8	4169	0	166	14	11
