gene	T1a	T1b	T2	T3	N1	N2
Gene_09372	30	20	26	15	46	38
Gene_09373	221	225	436	66	322	47
Gene_09374	30	16	4	0	10	20
Gene_09375	317	280	1102	826	1081	288
Gene_09376	137	94	180	192	211	50
Gene_09377	1376	2090	4630	13086	7718	1553
Gene_09378	84	53	180	120	168	68
Gene_09379	121	67	52	766	94	305
Gene_09380	109	60	206	89	148	64
Gene_09381	1	0	0	0	0	0
Gene_09382	46	53	180	36	132	96
Gene_09383	2863	2396	8373	2552	8407	5329
Gene_09384	5	15	12	13	9	14
Gene_09385	35	29	89	115	89	54
Gene_09386	153	84	223	335	548	248
Gene_09387	1	3	18	17	0	2
Gene_09388	0	1	35	17	36	27
Gene_09389	96	57	387	267	134	167
Gene_09390	12	7	7	7	39	24
Gene_09391	2684	2242	6835	9178	5829	6569
Gene_09392	74	52	163	264	124	114
Gene_09393	0	0	0	0	0	2
Gene_09394	168	120	401	278	403	270
Gene_09395	8	0	21	0	0	2
Gene_09396	1	0	2	0	0	0
Gene_09397	139	108	95	26	22	24
Gene_09398	1	1	0	0	0	0
Gene_09399	65	32	118	27	166	112
Gene_09400	96	85	355	193	373	298
Gene_09401	17	20	45	8	53	9
Gene_09402	29	28	95	67	60	102
Gene_09403	2424	1952	1301	2165	6753	2959
Gene_09404	656	733	1249	4415	431	226
Gene_09405	424	423	1516	1081	525	485
Gene_09406	40	16	12	61	10	59
Gene_09407	27	27	96	183	73	58
Gene_09408	2899	3030	6156	5327	7371	3090
Gene_09409	0	0	0	0	0	1
Gene_09410	3	0	32	2	1	2
Gene_09411	68	38	1	3	0	0
Gene_09412	6	7	20	24	19	20
Gene_09413	78	98	337	284	207	218
Gene_09414	198	146	554	201	324	205
Gene_09415	197	201	1973	1006	1019	480
Gene_09416	19	32	69	30	40	34
Gene_09417	77	39	106	102	195	79
Gene_09418	152	125	173	252	205	146
Gene_09419	19	15	71	8	22	4
Gene_09420	0	0	250	524	337	85
Gene_09421	38	29	46	184	64	98
Gene_09422	146	117	312	20	222	145
Gene_09423	58	78	146	390	123	403
Gene_09424	0	1	11	7	13	3
Gene_09425	0	3	3	16	2	0
Gene_09426	0	0	160	182	824	358
Gene_09427	122	60	111	40	239	113
Gene_09428	866	546	749	59	475	689
Gene_09429	4	2	17	13	4	8
Gene_09430	1	6	16	8	0	1
Gene_09431	17	1	0	4	0	2
Gene_09432	74	35	130	37	188	58
Gene_09433	0	0	2	0	0	0
Gene_09434	38	45	162	153	27	43
Gene_09435	55	32	69	13	141	46
Gene_09436	2	0	36	11	0	0
Gene_09437	4	5	10	3	2	7
Gene_09438	20	29	49	140	118	25
Gene_09439	84	81	0	4	0	2
Gene_09440	143	78	320	308	526	470
Gene_09441	13	29	75	37	129	58
Gene_09442	0	0	1	0	0	0
Gene_09443	41	17	0	23	0	43
Gene_09444	196	122	239	822	324	271
Gene_09445	3	2	0	0	4	0
Gene_09446	8	24	0	0	8	1
Gene_09447	116	84	157	303	348	92
Gene_09448	7	1	5	0	0	0
Gene_09449	1	0	0	0	0	1
Gene_09450	20	10	36	9	8	14
Gene_09451	407	201	2298	742	1046	683
Gene_09452	789	990	2152	2682	4082	1040
Gene_09453	513	150	777	652	1780	800
Gene_09454	1	0	3	0	0	1
Gene_09455	95	32	260	15	196	76
Gene_09456	30	62	78	66	74	66
Gene_09457	1	2	1	0	0	4
Gene_09458	69	196	666	385	524	162
Gene_09459	13	11	12	0	8	9
Gene_09460	77	71	99	53	57	72
Gene_09461	0	0	4	0	0	0
Gene_09462	26	10	86	2969	88	55
Gene_09463	0	0	5	0	0	1
Gene_09464	15	5	94	29	21	75
Gene_09465	4047	1627	7160	2282	7187	6840
Gene_09466	101	31	197	3	22	32
Gene_09467	493	318	333	115	464	273
Gene_09468	1	3	2	0	3	4
Gene_09469	8	5	14	3	5	18
Gene_09470	24	13	132	32	27	56
Gene_09471	17	13	39	7	24	25
Gene_09472	143	72	274	222	88	207
Gene_09473	138	156	200	145	244	233
Gene_09474	38	8	62	248	0	85
Gene_09475	2	0	2	0	0	0
Gene_09476	1	1	0	0	0	5
Gene_09477	64	26	103	34	62	74
Gene_09478	34	8	221	66	13	49
Gene_09479	1	1	1	2	3	1
Gene_09480	40	29	114	41	34	8
Gene_09481	921	1061	3772	1580	2752	1670
Gene_09482	1190	1374	4227	5013	2500	1032
Gene_09483	6	5	14	2	1	8
Gene_09484	17	13	172	68	13	77
Gene_09485	12	22	94	5	26	30
Gene_09486	0	0	2	0	0	0
Gene_09487	0	0	0	0	0	1
Gene_09488	1	0	0	0	0	0
Gene_09489	0	0	1	0	0	0
Gene_09490	71	55	110	57	149	61
Gene_09491	0	0	69	77	0	1
Gene_09492	1	1	1	0	0	5
Gene_09493	9	17	29	13	19	19
Gene_09494	0	0	1	0	0	0
Gene_09495	329	301	815	2187	1857	455
Gene_09496	53	52	124	63	19	59
Gene_09497	7	15	135	10	12	12
Gene_09498	21	16	101	117	201	64
Gene_09499	0	0	5	0	0	0
Gene_09500	1	0	3	6	0	3
Gene_09501	0	0	1	0	0	1
Gene_09502	79	64	154	122	256	248
Gene_09503	0	0	0	0	0	1
Gene_09504	23	24	46	182	37	74
Gene_09505	6732	3819	17198	10397	38391	17067
Gene_09506	5	2	37	21	16	14
Gene_09507	1	3	4	9	0	2
Gene_09508	1066	390	1963	454	1058	2215
Gene_09509	37	17	45	43	45	12
Gene_09510	314	161	360	248	300	252
Gene_09511	101	91	285	116	73	67
Gene_09512	30	51	175	219	204	131
Gene_09513	3	4	0	0	13	0
Gene_09514	13	6	19	22	66	56
Gene_09515	0	0	0	0	2	0
Gene_09516	25	18	141	76	32	72
Gene_09517	1	1	0	0	0	1
Gene_09518	92	81	463	360	131	97
Gene_09519	30	17	170	69	65	38
Gene_09520	345	377	1097	1036	1269	380
Gene_09521	45	37	97	466	203	101
Gene_09522	16	11	54	44	56	62
Gene_09523	39	53	36	97	11	4
Gene_09524	9	2	8	36	15	16
Gene_09525	818	711	2880	2593	1071	695
Gene_09526	54	59	252	229	255	231
Gene_09527	141	153	726	706	517	290
Gene_09528	0	0	4	8	0	0
Gene_09529	0	0	0	14	0	1
Gene_09530	0	2	1	0	0	2
Gene_09531	32	14	23	10	9	1
Gene_09532	36	28	69	66	64	22
Gene_09533	2	0	2	8	0	3
Gene_09534	206	149	605	139	245	153
Gene_09535	156	211	503	449	552	146
Gene_09536	127	119	1017	338	1201	768
Gene_09537	78	66	79	109	11	36
Gene_09538	2317	2173	17005	5921	4032	4443
Gene_09539	1	2	3	0	2	1
Gene_09540	8	6	1	59	14	2
Gene_09541	1088	912	4106	1732	1861	1554
Gene_09542	0	0	1	0	1	0
Gene_09543	11	21	25	28	33	13
Gene_09544	127	105	226	743	392	216
Gene_09545	470	640	1517	1019	960	422
Gene_09546	19	18	7	1	147	10
Gene_09547	94	119	122	216	316	227
Gene_09548	6	11	216	292	13	12
Gene_09549	258	144	500	349	519	249
Gene_09550	96	65	449	621	183	204
Gene_09551	2201	1638	1935	924	2933	1990
Gene_09552	28	13	83	30	66	47
Gene_09553	234	55	222	18	159	56
Gene_09554	143	77	15	0	0	0
Gene_09555	1	2	12	8	1	5
Gene_09556	0	0	0	6	0	3
Gene_09557	5	2	0	0	108	19
Gene_09558	14	16	24	9	26	41
Gene_09559	0	3	0	0	0	0
Gene_09560	81	150	634	464	593	420
Gene_09561	0	0	14	39	17	12
Gene_09562	127	144	265	217	586	151
Gene_09563	0	0	1	0	0	2
Gene_09564	11	1	22	4	0	3
Gene_09565	0	2	2	0	0	0
Gene_09566	14	21	38	41	43	76
Gene_09567	2	1	0	0	0	0
Gene_09568	6	3	5	23	0	4
Gene_09569	0	1	2	2	2	1
Gene_09570	5	4	67	28	88	6
Gene_09571	37	46	51	138	93	31
Gene_09572	84	58	64	45	68	21
Gene_09573	0	0	2	2	0	2
Gene_09574	339	295	428	448	377	222
Gene_09575	17	29	0	0	0	0
Gene_09576	3	8	10	9	0	6
Gene_09577	3	8	23	14	0	3
Gene_09578	1	0	1	0	0	0
Gene_09579	90	77	714	1650	105	370
Gene_09580	3	2	13	5	0	5
Gene_09581	648	448	1332	1417	1271	1451
Gene_09582	4	11	35	12	7	8
Gene_09583	269	416	250	116	399	120
Gene_09584	1	2	11	1	11	15
Gene_09585	87	48	152	42	168	13
Gene_09586	0	1	0	0	0	0
Gene_09587	10	2	10	4	5	1
Gene_09588	67	36	88	12	54	112
Gene_09589	318	248	557	361	1704	625
Gene_09590	59	31	109	121	105	174
Gene_09591	0	1	0	0	0	2
Gene_09592	261	196	2342	710	566	570
Gene_09593	87	55	444	238	310	136
Gene_09594	19	16	43	22	59	54
Gene_09595	201	237	941	3664	1123	379
Gene_09596	109	123	18	13	911	318
Gene_09597	275	216	249	282	251	61
Gene_09598	3	1	10	39	28	8
Gene_09599	23	10	20	19	19	16
Gene_09600	16	16	42	40	25	12
Gene_09601	33	63	83	49	27	32
Gene_09602	242	192	1177	1505	391	167
Gene_09603	20	15	6	8	25	14
Gene_09604	10	10	10	34	21	12
Gene_09605	35	22	27	44	43	29
Gene_09606	36	42	57	8	4	12
Gene_09607	415	269	3115	1229	1151	407
Gene_09608	15	6	37	7	8	7
Gene_09609	42	31	371	133	116	204
Gene_09610	4270	3311	11367	13892	8810	9729
Gene_09611	81	66	310	183	81	44
Gene_09612	0	0	1	0	0	0
Gene_09613	112	63	29	33	76	54
Gene_09614	0	0	3	5	0	0
Gene_09615	10	0	28	11	43	105
Gene_09616	0	0	2	1	0	1
Gene_09617	13	9	42	21	21	31
Gene_09618	1	0	9	5	24	34
Gene_09619	189	98	262	72	277	356
Gene_09620	97	100	1315	732	479	279
Gene_09621	439	341	906	930	557	363
Gene_09622	0	0	23	41	167	64
Gene_09623	1	5	12	0	0	1
Gene_09624	65	95	126	49	272	30
Gene_09625	160	162	396	332	510	226
Gene_09626	4	10	43	27	23	2
Gene_09627	54	47	76	120	38	40
Gene_09628	3	2	5	0	0	15
Gene_09629	192	139	1352	554	750	223
Gene_09630	11	11	60	34	28	16
Gene_09631	82	48	489	268	208	117
Gene_09632	22	30	114	141	169	40
Gene_09633	256	210	469	658	769	241
Gene_09634	11	10	23	0	4	9
Gene_09635	21	14	17	51	32	16
Gene_09636	37	12	79	223	57	85
Gene_09637	6	9	22	41	5	18
Gene_09638	73	61	88	23	29	35
Gene_09639	27	25	43	20	55	17
Gene_09640	62	19	30	38	92	43
Gene_09641	0	1	7	1	0	0
Gene_09642	16	9	40	1	76	15
Gene_09643	62	21	0	0	0	27
Gene_09644	0	0	0	3	0	0
Gene_09645	122	74	30	32	63	76
Gene_09646	0	0	3	0	0	0
Gene_09647	3	2	10	13	31	6
Gene_09648	24	25	45	48	93	48
Gene_09649	19	2	30	30	133	38
Gene_09650	2	0	4	7	0	2
Gene_09651	403	386	919	1140	832	405
Gene_09652	10	23	1	121	78	20
Gene_09653	0	0	0	0	0	78
Gene_09654	14	1	31	34	41	22
Gene_09655	1	0	2	0	0	0
Gene_09656	106	59	48	50	60	94
Gene_09657	5	8	172	676	51	52
Gene_09658	51	20	121	7	54	12
Gene_09659	4	11	15	32	0	11
Gene_09660	35	94	194	193	104	61
Gene_09661	25	9	5	12	1	10
Gene_09662	13	12	188	27	63	27
Gene_09663	9	22	16	2	9	1
Gene_09664	2248	1505	6377	6433	4420	4266
Gene_09665	0	0	0	0	1	0
Gene_09666	30	13	86	59	143	35
Gene_09667	24	20	15	23	28	15
Gene_09668	25	22	67	21	52	23
Gene_09669	547	652	1961	1397	1832	545
Gene_09670	2	0	16	0	3	1
Gene_09671	27	8	112	14	67	23
Gene_09672	36	33	38	26	31	35
Gene_09673	3	13	239	683	158	40
Gene_09674	22	12	48	13	24	9
Gene_09675	5	1	23	15	42	5
Gene_09676	60	44	387	118	458	107
Gene_09677	15	9	46	18	35	17
Gene_09678	83	66	724	86	313	117
Gene_09679	313	159	534	603	668	568
Gene_09680	35	22	49	31	46	25
Gene_09681	3	4	1	0	2	11
Gene_09682	1	3	2	0	0	0
Gene_09683	320	238	517	422	610	265
Gene_09684	19	14	113	55	145	86
Gene_09685	55	31	228	113	137	54
Gene_09686	96	138	278	776	497	187
Gene_09687	116	111	228	256	294	165
Gene_09688	0	0	5	10	0	2
Gene_09689	27	40	101	146	137	27
Gene_09690	18	4	24	18	9	8
Gene_09691	59	61	487	155	69	72
Gene_09692	1	0	0	0	0	0
Gene_09693	1	2	3	0	0	0
Gene_09694	39	56	16	63	62	27
Gene_09695	250	113	2624	1462	415	567
Gene_09696	189	173	505	265	176	219
Gene_09697	155	60	377	25	104	27
Gene_09698	3292	1954	4875	2931	2613	4212
Gene_09699	62	33	86	66	176	96
Gene_09700	164	161	432	630	857	380
Gene_09701	16	7	42	22	14	16
Gene_09702	35	14	91	151	99	50
Gene_09703	2	0	13	8	11	17
Gene_09704	1	1	2	0	1	5
Gene_09705	1	2	28	19	4	14
Gene_09706	4	0	3	0	0	5
Gene_09707	132	125	698	320	265	154
Gene_09708	289	185	527	1078	1048	732
Gene_09709	95	124	206	74	125	57
Gene_09710	1	0	0	5	0	3
Gene_09711	5	7	13	2	42	8
Gene_09712	0	0	0	0	0	1
Gene_09713	4	8	8	50	0	18
Gene_09714	632	635	3286	2038	5356	3540
Gene_09715	51	58	190	206	33	58
Gene_09716	3	2	7	6	5	16
Gene_09717	0	0	0	1	0	0
Gene_09718	92	83	225	98	144	55
Gene_09719	2	7	2	6	2	1
Gene_09720	123	115	221	102	217	174
Gene_09721	24	13	40	26	227	61
Gene_09722	3	0	8	3	6	4
Gene_09723	26	54	63	33	23	32
Gene_09724	99	106	78	166	125	35
Gene_09725	0	0	0	0	0	4
Gene_09726	12	3	36	9	41	9
Gene_09727	13	3	24	4	42	21
Gene_09728	120	82	138	216	228	141
Gene_09729	34	22	67	6	63	15
Gene_09730	1	0	1	1	1	1
Gene_09731	0	0	0	0	64	9
Gene_09732	329	146	737	310	1423	829
Gene_09733	356	226	504	349	828	392
Gene_09734	165	87	293	81	140	155
Gene_09735	4	1	1	6	0	10
Gene_09736	469	304	571	677	598	526
Gene_09737	0	8	5	5	0	2
Gene_09738	34	40	45	38	39	19
Gene_09739	11	8	17	22	28	10
Gene_09740	0	0	1	0	0	0
Gene_09741	36	26	11	77	40	69
Gene_09742	216	295	151	739	1910	104
Gene_09743	58	53	140	151	192	102
Gene_09744	2	0	14	4	2	9
Gene_09745	0	0	0	5	3	0
Gene_09746	1	0	1	0	0	0
Gene_09747	1	0	10	17	9	6
Gene_09748	89	77	39	186	300	91
Gene_09749	2	0	0	0	0	0
Gene_09750	239	146	528	454	766	318
Gene_09751	1	0	3	0	3	7
Gene_09752	48	49	116	105	327	106
Gene_09753	13	29	45	15	38	12
Gene_09754	6	8	11	44	61	20
Gene_09755	2	1	1	0	0	1
Gene_09756	97	109	383	209	161	109
Gene_09757	46	31	144	27	219	78
Gene_09758	94	121	195	147	162	149
Gene_09759	28	27	49	24	20	33
Gene_09760	121	99	121	92	60	30
Gene_09761	20	22	156	8	5	19
Gene_09762	3	7	5	0	1	4
Gene_09763	1994	1905	6908	4905	3905	4855
Gene_09764	822	373	5007	1350	1765	3095
Gene_09765	1	5	0	0	0	0
Gene_09766	152	78	421	190	286	208
Gene_09767	81	55	98	123	318	88
Gene_09768	0	0	2	0	0	2
Gene_09769	47	53	153	42	35	34
Gene_09770	92	98	207	313	419	209
Gene_09771	32	43	133	49	28	8
Gene_09772	219	109	136	168	267	190
Gene_09773	9	7	34	4	4	12
Gene_09774	1	0	0	0	0	4
Gene_09775	201	147	175	207	231	157
Gene_09776	11	2	19	7	231	67
Gene_09777	5	4	6	18	9	2
Gene_09778	4	6	20	11	2	4
Gene_09779	290	165	453	55	190	146
Gene_09780	35	15	36	10	56	19
Gene_09781	114	77	713	311	288	130
Gene_09782	13	20	57	68	47	55
Gene_09783	1212	994	1609	3634	2840	914
Gene_09784	5	8	17	9	26	5
Gene_09785	6	1	3	14	2	17
Gene_09786	7	12	17	12	4	8
Gene_09787	47	64	169	86	99	90
Gene_09788	42	56	64	221	275	21
Gene_09789	22	12	63	92	43	37
Gene_09790	1	0	2	0	0	0
Gene_09791	226	209	489	385	447	306
Gene_09792	38	10	83	18	57	46
Gene_09793	10	29	2	0	2	5
Gene_09794	54	24	40	241	34	72
Gene_09795	0	4	10	1	0	7
Gene_09796	40	50	21	50	186	96
Gene_09797	657	279	1432	296	696	758
Gene_09798	174	93	432	779	229	296
Gene_09799	32	25	35	2	47	14
Gene_09800	150	117	253	151	233	210
Gene_09801	78	43	116	87	181	120
Gene_09802	0	0	0	4	0	2
Gene_09803	44	29	136	245	109	92
Gene_09804	290	242	2286	1904	605	607
Gene_09805	351	328	1187	824	521	487
Gene_09806	2	3	1	0	32	5
Gene_09807	0	1	1	0	0	0
Gene_09808	9	12	19	64	46	16
Gene_09809	3	0	102	1233	8	0
Gene_09810	375	501	2660	442	224	199
Gene_09811	0	0	9	5	0	0
Gene_09812	101	97	217	114	371	138
Gene_09813	242	139	558	1150	1005	470
Gene_09814	4	20	72	129	67	54
Gene_09815	9	1	19	7	1	6
Gene_09816	289	198	411	1009	485	329
Gene_09817	0	0	268	103	14	7
Gene_09818	1	0	0	4	0	4
Gene_09819	544	1425	314	374	511	139
Gene_09820	2	0	54	81	15	22
Gene_09821	0	0	3	0	0	0
Gene_09822	3	0	3	1	0	5
Gene_09823	0	0	7	0	0	3
Gene_09824	1	0	0	0	0	0
Gene_09825	16	5	16	5	14	13
Gene_09826	14	13	23	7	65	19
Gene_09827	27	26	166	73	65	31
Gene_09828	16	12	82	27	25	15
Gene_09829	0	0	0	0	0	1
Gene_09830	4	2	50	29	0	0
Gene_09831	3	4	0	7	0	1
Gene_09832	0	0	0	0	0	2
Gene_09833	0	0	4	1	0	3
Gene_09834	9	10	1	29	112	27
Gene_09835	19	6	22	13	12	20
Gene_09836	2	0	0	0	2	2
Gene_09837	215	170	397	383	512	384
Gene_09838	29	38	77	33	21	20
Gene_09839	80	44	451	300	115	82
Gene_09840	141	90	10	112	1639	131
Gene_09841	14	7	18	19	121	65
Gene_09842	103	83	298	283	139	231
Gene_09843	139	126	94	67	57	61
Gene_09844	308	188	451	1147	593	157
Gene_09845	0	1	3	17	0	3
Gene_09846	45	22	190	98	94	57
Gene_09847	34	25	162	130	33	13
Gene_09848	53	47	102	243	105	81
Gene_09849	66	76	147	109	49	98
Gene_09850	75	86	183	414	270	99
Gene_09851	83	29	141	120	134	59
Gene_09852	21	23	94	151	156	121
Gene_09853	10	9	16	10	13	9
Gene_09854	236	292	690	461	171	213
Gene_09855	0	0	0	0	0	1
Gene_09856	0	0	0	7	0	0
Gene_09857	0	0	40	12	0	10
Gene_09858	2	0	152	182	64	182
Gene_09859	1	0	20	10	0	3
Gene_09860	0	0	6	0	0	0
Gene_09861	10	4	7	4	0	7
Gene_09862	203	153	75	449	416	172
Gene_09863	145	87	215	145	108	122
Gene_09864	9	5	23	17	8	9
Gene_09865	35	11	57	76	62	48
Gene_09866	630	414	2006	453	721	655
Gene_09867	66	47	223	347	38	47
Gene_09868	39	18	326	222	142	66
Gene_09869	36	54	35	30	13	41
Gene_09870	92	117	606	67	160	100
Gene_09871	0	0	41	0	1	2
Gene_09872	6	1	47	12	15	11
Gene_09873	2	1	50	8	0	4
Gene_09874	170	116	144	224	79	101
Gene_09875	182	91	474	114	181	230
Gene_09876	0	0	0	0	2	0
Gene_09877	6	0	14	2	18	4
Gene_09878	164	93	497	385	777	391
Gene_09879	0	0	2	0	0	4
Gene_09880	25	8	5	4	30	20
Gene_09881	19	13	57	55	0	32
Gene_09882	0	0	0	0	0	2
Gene_09883	17	6	12	30	69	34
Gene_09884	4	11	0	1	0	0
Gene_09885	81	130	201	360	211	226
Gene_09886	0	0	11	14	0	6
Gene_09887	131	52	88	123	92	130
Gene_09888	35	25	109	4	20	64
Gene_09889	11	11	51	38	21	15
Gene_09890	0	0	1	0	0	0
Gene_09891	57	46	78	34	66	29
Gene_09892	36	18	88	16	106	43
Gene_09893	36	33	40	7	49	13
Gene_09894	96	84	207	123	210	93
Gene_09895	0	0	0	0	0	1
Gene_09896	11	15	2	51	28	38
Gene_09897	632	381	2063	366	752	684
Gene_09898	39	16	75	28	172	170
Gene_09899	139	95	186	96	320	246
Gene_09900	11	6	42	8	29	24
Gene_09901	0	0	0	0	0	2
Gene_09902	135	92	239	444	336	106
Gene_09903	59	52	294	190	45	87
Gene_09904	0	0	0	0	0	1
Gene_09905	49	50	141	511	15	36
Gene_09906	64	38	216	103	165	95
Gene_09907	9	20	371	43	18	12
Gene_09908	0	0	3	0	0	0
Gene_09909	32	26	63	52	117	61
Gene_09910	1	3	1	0	0	2
Gene_09911	0	4	19	8	3	10
Gene_09912	2	5	4	36	0	3
Gene_09913	158	9	159	3	35	28
Gene_09914	3	2	0	0	2	1
Gene_09915	143	80	7	11	14	78
Gene_09916	23	6	32	15	5	26
Gene_09917	31	34	75	44	50	67
Gene_09918	13	23	5	11	0	0
Gene_09919	71	10	243	8	284	82
Gene_09920	2	0	1	0	4	2
Gene_09921	11	4	22	3	0	4
Gene_09922	16	23	89	168	43	116
Gene_09923	0	0	0	0	1	1
Gene_09924	1	1	0	6	0	0
Gene_09925	671	375	2137	605	705	646
Gene_09926	60	35	4	351	135	119
Gene_09927	1804	1182	3102	676	1161	1143
Gene_09928	284	151	18	19	165	32
Gene_09929	9	3	248	73	131	47
Gene_09930	0	0	0	0	0	1
Gene_09931	105	88	344	22	80	45
Gene_09932	0	0	4	0	0	0
Gene_09933	33	10	172	50	49	40
Gene_09934	4	1	4	1	1	0
Gene_09935	0	0	1	0	30	0
Gene_09936	52	72	692	231	40	25
Gene_09937	0	0	9	3	0	2
Gene_09938	8	6	29	21	1	9
Gene_09939	16	12	6	9	10	15
Gene_09940	0	0	1	0	0	0
Gene_09941	4	2	6	0	0	4
Gene_09942	37	37	161	55	88	43
Gene_09943	29	17	88	79	30	78
Gene_09944	12	20	148	322	276	119
Gene_09945	1	0	1	0	0	4
Gene_09946	3	0	0	0	10	2
Gene_09947	56	30	129	67	145	42
Gene_09948	28	19	21	26	30	39
Gene_09949	13	0	92	176	722	328
Gene_09950	267	220	439	257	297	166
Gene_09951	118	84	159	556	412	239
Gene_09952	7076	3121	28713	17842	18517	10432
Gene_09953	0	0	1	7	0	0
Gene_09954	51	34	189	153	159	200
Gene_09955	1	1	147	14	213	20
Gene_09956	5	11	55	6	21	1
Gene_09957	3	5	21	2	2	1
Gene_09958	574	394	625	1161	2037	897
Gene_09959	398	265	451	1009	308	295
Gene_09960	167	121	60	178	50	38
Gene_09961	138	92	532	294	553	451
Gene_09962	1	3	1	0	21	0
Gene_09963	192	115	524	94	196	115
Gene_09964	21	18	65	0	443	177
Gene_09965	61	37	16	9	416	60
Gene_09966	3	1	2	0	7	8
Gene_09967	5	6	413	321	32	58
Gene_09968	0	1	25	8	2	9
Gene_09969	3880	2026	19829	8623	15455	17823
Gene_09970	84	10	100	16	70	49
Gene_09971	254	165	1378	625	953	742
Gene_09972	19	18	15	27	49	29
Gene_09973	0	0	1	0	0	0
Gene_09974	307	244	609	274	563	271
Gene_09975	19	36	13	51	0	24
Gene_09976	0	0	18	0	0	1
Gene_09977	3	0	2	0	0	0
Gene_09978	23	33	9	128	44	46
Gene_09979	3	0	11	11	2	16
Gene_09980	39	13	72	18	21	50
Gene_09981	17	5	62	71	68	33
Gene_09982	7	1	7	6	4	5
Gene_09983	112	98	1101	639	110	52
Gene_09984	146	64	205	57	99	92
Gene_09985	0	0	5	0	2	0
Gene_09986	0	0	10	0	0	0
Gene_09987	39	34	46	14	61	52
Gene_09988	2	1	1	1	0	0
Gene_09989	573	719	760	1851	780	857
Gene_09990	8	4	2	22	29	51
Gene_09991	114	91	967	315	314	153
Gene_09992	6	5	14	21	152	18
Gene_09993	5	2	11	13	18	6
Gene_09994	11	7	63	22	7	32
Gene_09995	294	306	2452	5506	2423	782
Gene_09996	182	209	604	31	138	102
Gene_09997	0	0	2	2	0	2
Gene_09998	6	8	6	0	0	5
Gene_09999	197	101	390	106	131	173
Gene_10000	79	86	107	59	28	52
Gene_10001	0	1	0	16	4	1
Gene_10002	152	122	99	93	58	90
Gene_10003	5	0	10	3	14	13
Gene_10004	49	42	97	155	105	36
Gene_10005	0	0	0	3	0	2
Gene_10006	24	4	31	2	36	24
Gene_10007	0	0	0	0	0	4
Gene_10008	9	6	50	47	54	14
Gene_10009	11	4	19	21	70	11
Gene_10010	65	8	10	3	3	4
Gene_10011	49	21	186	51	44	72
Gene_10012	40	99	45	48	88	64
Gene_10013	50	25	70	41	32	63
Gene_10014	26	10	11	1	1	12
Gene_10015	13	3	1	12	0	0
Gene_10016	345	378	861	815	516	337
Gene_10017	75	74	158	765	193	147
Gene_10018	1204	759	248	329	1131	1616
Gene_10019	683	552	1863	880	2037	639
Gene_10020	13	16	43	15	14	4
Gene_10021	5	4	0	0	14	3
Gene_10022	5	0	15	3	1	7
Gene_10023	5	0	1	6	3	2
Gene_10024	150	300	376	378	588	243
Gene_10025	1	0	179	0	0	20
Gene_10026	38	40	137	19	81	73
Gene_10027	28	27	46	143	54	118
Gene_10028	8	13	29	5	1	12
Gene_10029	520	349	1519	648	715	593
Gene_10030	299	395	177	2062	500	103
Gene_10031	145	98	602	247	573	266
Gene_10032	95	62	112	107	60	54
Gene_10033	65	85	299	158	65	55
Gene_10034	3	2	16	13	7	10
Gene_10035	240	144	431	73	116	132
Gene_10036	27	7	54	69	33	71
Gene_10037	1	0	0	0	0	0
Gene_10038	2667	1349	10797	1712	14476	6785
Gene_10039	188	129	59	243	257	88
Gene_10040	54	24	12	9	31	51
Gene_10041	3	5	21	1	7	7
Gene_10042	0	2	0	0	0	0
Gene_10043	124	53	223	178	209	202
Gene_10044	385	383	175	432	968	368
Gene_10045	263	326	1060	72	288	213
Gene_10046	133	114	806	293	278	199
Gene_10047	17	16	68	24	33	51
Gene_10048	1	0	0	0	0	0
Gene_10049	48	16	52	21	0	18
Gene_10050	33	48	225	121	60	42
Gene_10051	0	0	1	0	0	0
Gene_10052	0	0	1	0	0	1
Gene_10053	55	20	89	63	82	38
Gene_10054	31	21	117	89	53	113
Gene_10055	198	62	305	45	131	54
Gene_10056	0	0	0	1	0	0
Gene_10057	3	8	6	1	3	0
Gene_10058	41	86	12	61	3	5
Gene_10059	42	16	137	8	50	18
Gene_10060	6	14	32	13	2	12
Gene_10061	178	154	390	193	212	145
Gene_10062	1829	1206	3153	733	1199	1253
Gene_10063	67	61	387	49	55	112
Gene_10064	174	254	368	238	897	155
Gene_10065	4	0	1	5	1	0
Gene_10066	36	53	143	87	179	112
Gene_10067	85	52	110	205	248	122
Gene_10068	108	83	356	601	217	201
Gene_10069	0	0	0	0	12	6
Gene_10070	100	121	448	614	202	269
Gene_10071	81	30	0	2	86	136
Gene_10072	0	0	1	0	0	0
Gene_10073	101	85	268	89	135	103
Gene_10074	1	0	31	3	8	5
Gene_10075	138	212	560	225	302	89
Gene_10076	8	28	9	23	110	34
Gene_10077	46	54	183	88	249	71
Gene_10078	226	55	5809	106	1129	325
Gene_10079	0	1	0	0	2	2
Gene_10080	10	8	118	4	0	19
Gene_10081	14	14	85	21	25	23
Gene_10082	39	54	58	40	11	7
Gene_10083	4	8	5	23	16	8
Gene_10084	0	0	4	0	0	0
Gene_10085	1	0	4	0	0	5
Gene_10086	117	111	74	71	185	209
Gene_10087	2	0	2	0	0	2
Gene_10088	94	69	67	155	188	105
Gene_10089	0	0	5	0	0	1
Gene_10090	0	0	5	0	0	3
Gene_10091	23	20	10	66	0	4
Gene_10092	14	4	14	17	14	13
Gene_10093	2	0	2	0	0	0
Gene_10094	62	70	323	127	368	173
